timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618218096132,4,Create account,226,,Load test Thread Group 1-493,,true,,210,302,29,29,http://localhost:8082/users/signup,4,0,1
1618218096132,4,Login Account,200,,Load test Thread Group 1-500,text,true,,305,300,29,29,http://localhost:8082/users/login,4,0,1
1618218096133,3,Create account,226,,Load test Thread Group 1-497,,true,,210,302,29,29,http://localhost:8082/users/signup,3,0,0
1618218096133,3,Create account,226,,Load test Thread Group 1-498,,true,,210,301,29,29,http://localhost:8082/users/signup,3,0,0
1618218096133,3,Login Account,200,,Load test Thread Group 1-494,text,true,,305,300,29,29,http://localhost:8082/users/login,3,0,0
1618218096132,4,Create account,226,,Load test Thread Group 1-495,,true,,210,301,29,29,http://localhost:8082/users/signup,4,0,1
1618218096133,3,Create account,226,,Load test Thread Group 1-492,,true,,210,302,29,29,http://localhost:8082/users/signup,3,0,0
1618218096133,3,Login Account,200,,Load test Thread Group 1-496,text,true,,305,300,29,29,http://localhost:8082/users/login,3,0,0
1618218096134,2,Create account,226,,Load test Thread Group 1-499,,true,,210,301,29,29,http://localhost:8082/users/signup,2,0,0
1618218096153,2,Create account,226,,Load test Thread Group 1-491,,true,,210,302,30,30,http://localhost:8082/users/signup,2,0,1
1618218096174,3,Login Account,200,,Load test Thread Group 1-490,text,true,,305,300,31,31,http://localhost:8082/users/login,3,0,0
1618218096193,3,Login Account,200,,Load test Thread Group 1-489,text,true,,305,300,32,32,http://localhost:8082/users/login,3,0,0
1618218096215,2,Login Account,200,,Load test Thread Group 1-488,text,true,,305,300,33,33,http://localhost:8082/users/login,2,0,0
1618218096235,2,Create account,226,,Load test Thread Group 1-487,,true,,210,301,34,34,http://localhost:8082/users/signup,2,0,0
1618218096253,2,Login Account,200,,Load test Thread Group 1-486,text,true,,305,300,35,35,http://localhost:8082/users/login,2,0,0
1618218096275,3,Login Account,200,,Load test Thread Group 1-485,text,true,,305,300,36,36,http://localhost:8082/users/login,3,0,0
1618218096295,3,Login Account,200,,Load test Thread Group 1-484,text,true,,305,300,37,37,http://localhost:8082/users/login,3,0,0
1618218096314,2,Login Account,200,,Load test Thread Group 1-483,text,true,,305,300,38,38,http://localhost:8082/users/login,2,0,0
1618218096335,2,Create account,226,,Load test Thread Group 1-482,,true,,210,302,39,39,http://localhost:8082/users/signup,2,0,0
1618218096354,2,Create account,226,,Load test Thread Group 1-481,,true,,210,302,40,40,http://localhost:8082/users/signup,2,0,1
1618218096375,2,Login Account,200,,Load test Thread Group 1-480,text,true,,305,300,41,41,http://localhost:8082/users/login,2,0,0
1618218096394,2,Create account,226,,Load test Thread Group 1-479,,true,,210,302,42,42,http://localhost:8082/users/signup,2,0,0
1618218096415,2,Login Account,200,,Load test Thread Group 1-478,text,true,,305,300,43,43,http://localhost:8082/users/login,2,0,0
1618218096433,2,Create account,226,,Load test Thread Group 1-477,,true,,210,302,44,44,http://localhost:8082/users/signup,2,0,0
1618218096457,2,Create account,226,,Load test Thread Group 1-476,,true,,210,302,45,45,http://localhost:8082/users/signup,2,0,0
1618218096473,2,Create account,226,,Load test Thread Group 1-475,,true,,210,301,46,46,http://localhost:8082/users/signup,2,0,0
1618218096496,8,Create account,226,,Load test Thread Group 1-474,,true,,210,301,47,47,http://localhost:8082/users/signup,8,0,1
1618218096513,2,Create account,226,,Load test Thread Group 1-473,,true,,210,302,48,48,http://localhost:8082/users/signup,2,0,0
1618218096534,3,Create account,226,,Load test Thread Group 1-472,,true,,210,302,49,49,http://localhost:8082/users/signup,3,0,1
1618218096537,1,Website request,200,,Load test Thread Group 1-494,text,true,,7645,209,49,49,http://localhost:8082/,1,0,0
1618218096537,1,Website request,200,,Load test Thread Group 1-500,text,true,,7645,209,49,49,http://localhost:8082/,1,0,0
1618218096536,2,Login Account,200,,Load test Thread Group 1-498,text,true,,307,300,49,49,http://localhost:8082/users/login,2,0,0
1618218096536,2,Login Account,200,,Load test Thread Group 1-493,text,true,,308,301,49,49,http://localhost:8082/users/login,2,0,0
1618218096538,1,Website request,200,,Load test Thread Group 1-496,text,true,,7645,209,49,49,http://localhost:8082/,1,0,0
1618218096537,2,Login Account,200,,Load test Thread Group 1-497,text,true,,308,301,49,49,http://localhost:8082/users/login,2,0,0
1618218096538,2,Login Account,200,,Load test Thread Group 1-492,text,true,,308,301,49,49,http://localhost:8082/users/login,2,0,0
1618218096538,2,Login Account,200,,Load test Thread Group 1-499,text,true,,307,300,49,49,http://localhost:8082/users/login,2,0,0
1618218096538,2,Login Account,200,,Load test Thread Group 1-495,text,true,,307,300,49,49,http://localhost:8082/users/login,2,0,0
1618218096553,3,Login Account,200,,Load test Thread Group 1-471,text,true,,305,300,50,50,http://localhost:8082/users/login,3,0,1
1618218096556,2,Login Account,200,,Load test Thread Group 1-491,text,true,,308,301,50,50,http://localhost:8082/users/login,2,0,0
1618218096577,1,Website request,200,,Load test Thread Group 1-490,text,true,,7645,209,51,51,http://localhost:8082/,1,0,0
1618218096576,2,Login Account,200,,Load test Thread Group 1-470,text,true,,305,300,51,51,http://localhost:8082/users/login,2,0,0
1618218096592,2,Create account,226,,Load test Thread Group 1-469,,true,,210,301,52,52,http://localhost:8082/users/signup,2,0,0
1618218096596,1,Website request,200,,Load test Thread Group 1-489,text,true,,7645,209,52,52,http://localhost:8082/,1,0,0
1618218096615,3,Login Account,200,,Load test Thread Group 1-468,text,true,,305,300,53,53,http://localhost:8082/users/login,3,0,0
1618218096619,1,Website request,200,,Load test Thread Group 1-488,text,true,,7645,209,53,53,http://localhost:8082/,1,0,0
1618218096634,3,Login Account,200,,Load test Thread Group 1-467,text,true,,305,300,54,54,http://localhost:8082/users/login,3,0,0
1618218096638,2,Login Account,200,,Load test Thread Group 1-487,text,true,,307,300,54,54,http://localhost:8082/users/login,2,0,0
1618218096652,3,Login Account,200,,Load test Thread Group 1-466,text,true,,305,300,55,55,http://localhost:8082/users/login,3,0,0
1618218096656,1,Website request,200,,Load test Thread Group 1-486,text,true,,7645,209,55,55,http://localhost:8082/,1,0,0
1618218096676,3,Create account,226,,Load test Thread Group 1-465,,true,,210,302,56,56,http://localhost:8082/users/signup,3,0,0
1618218096678,1,Website request,200,,Load test Thread Group 1-485,text,true,,7645,209,56,56,http://localhost:8082/,1,0,0
1618218096693,2,Create account,226,,Load test Thread Group 1-464,,true,,210,301,57,57,http://localhost:8082/users/signup,2,0,0
1618218096698,1,Website request,200,,Load test Thread Group 1-484,text,true,,7645,209,57,57,http://localhost:8082/,1,0,0
1618218096713,3,Login Account,200,,Load test Thread Group 1-463,text,true,,305,300,58,58,http://localhost:8082/users/login,3,0,0
1618218096717,1,Website request,200,,Load test Thread Group 1-483,text,true,,7645,209,58,58,http://localhost:8082/,1,0,0
1618218096735,2,Create account,226,,Load test Thread Group 1-462,,true,,210,302,59,59,http://localhost:8082/users/signup,2,0,0
1618218096738,2,Login Account,200,,Load test Thread Group 1-482,text,true,,308,301,59,59,http://localhost:8082/users/login,2,0,0
1618218096753,2,Create account,226,,Load test Thread Group 1-461,,true,,210,302,60,60,http://localhost:8082/users/signup,2,0,0
1618218096757,2,Login Account,200,,Load test Thread Group 1-481,text,true,,308,301,60,60,http://localhost:8082/users/login,2,0,0
1618218096773,2,Create account,226,,Load test Thread Group 1-460,,true,,210,301,61,61,http://localhost:8082/users/signup,2,0,1
1618218096777,1,Website request,200,,Load test Thread Group 1-480,text,true,,7645,209,61,61,http://localhost:8082/,1,0,0
1618218096794,3,Create account,226,,Load test Thread Group 1-459,,true,,210,301,62,62,http://localhost:8082/users/signup,3,0,1
1618218096797,3,Login Account,200,,Load test Thread Group 1-479,text,true,,308,301,62,62,http://localhost:8082/users/login,3,0,0
1618218096814,3,Login Account,200,,Load test Thread Group 1-458,text,true,,305,300,63,63,http://localhost:8082/users/login,3,0,1
1618218096818,1,Website request,200,,Load test Thread Group 1-478,text,true,,7645,209,63,63,http://localhost:8082/,1,0,0
1618218096833,3,Create account,226,,Load test Thread Group 1-457,,true,,210,302,64,64,http://localhost:8082/users/signup,3,0,1
1618218096836,2,Login Account,200,,Load test Thread Group 1-477,text,true,,308,301,64,64,http://localhost:8082/users/login,2,0,0
1618218096854,2,Create account,226,,Load test Thread Group 1-456,,true,,210,301,65,65,http://localhost:8082/users/signup,2,0,0
1618218096859,2,Login Account,200,,Load test Thread Group 1-476,text,true,,308,301,65,65,http://localhost:8082/users/login,2,0,0
1618218096874,2,Create account,226,,Load test Thread Group 1-455,,true,,210,301,66,66,http://localhost:8082/users/signup,2,0,0
1618218096877,2,Login Account,200,,Load test Thread Group 1-475,text,true,,307,300,66,66,http://localhost:8082/users/login,2,0,0
1618218096894,3,Login Account,200,,Load test Thread Group 1-454,text,true,,305,300,67,67,http://localhost:8082/users/login,3,0,0
1618218096904,2,Login Account,200,,Load test Thread Group 1-474,text,true,,307,300,67,67,http://localhost:8082/users/login,2,0,0
1618218096915,3,Create account,226,,Load test Thread Group 1-453,,true,,210,301,68,68,http://localhost:8082/users/signup,3,0,1
1618218096917,2,Login Account,200,,Load test Thread Group 1-473,text,true,,308,301,68,68,http://localhost:8082/users/login,2,0,0
1618218096933,3,Login Account,200,,Load test Thread Group 1-452,text,true,,305,300,69,69,http://localhost:8082/users/login,3,0,1
1618218096937,2,Login Account,200,,Load test Thread Group 1-472,text,true,,308,301,69,69,http://localhost:8082/users/login,2,0,0
1618218096939,1,Website request,200,,Load test Thread Group 1-498,text,true,,7645,209,69,69,http://localhost:8082/,1,0,0
1618218096939,1,Website request,200,,Load test Thread Group 1-493,text,true,,7645,209,69,69,http://localhost:8082/,1,0,0
1618218096940,0,Website request,200,,Load test Thread Group 1-497,text,true,,7645,209,69,69,http://localhost:8082/,0,0,0
1618218096941,1,Website request,200,,Load test Thread Group 1-495,text,true,,7645,209,69,69,http://localhost:8082/,1,0,0
1618218096941,1,Website request,200,,Load test Thread Group 1-499,text,true,,7645,209,69,69,http://localhost:8082/,1,0,0
1618218096941,1,Website request,200,,Load test Thread Group 1-492,text,true,,7645,209,69,69,http://localhost:8082/,1,0,0
1618218096953,3,Login Account,200,,Load test Thread Group 1-451,text,true,,305,300,70,70,http://localhost:8082/users/login,3,0,0
1618218096957,0,Website request,200,,Load test Thread Group 1-471,text,true,,7645,209,70,70,http://localhost:8082/,0,0,0
1618218096959,0,Website request,200,,Load test Thread Group 1-491,text,true,,7645,209,70,70,http://localhost:8082/,0,0,0
1618218096975,2,Create account,226,,Load test Thread Group 1-450,,true,,210,301,71,71,http://localhost:8082/users/signup,2,0,0
1618218096981,3,Website request,200,,Load test Thread Group 1-470,text,true,,7645,209,71,71,http://localhost:8082/,3,0,0
1618218096993,3,Login Account,200,,Load test Thread Group 1-449,text,true,,305,300,72,72,http://localhost:8082/users/login,3,0,0
1618218096996,3,Login Account,200,,Load test Thread Group 1-469,text,true,,307,300,72,72,http://localhost:8082/users/login,3,0,0
1618218097013,3,Create account,226,,Load test Thread Group 1-448,,true,,210,301,73,73,http://localhost:8082/users/signup,3,0,0
1618218097019,1,Website request,200,,Load test Thread Group 1-468,text,true,,7645,209,73,73,http://localhost:8082/,1,0,0
1618218097035,2,Login Account,200,,Load test Thread Group 1-447,text,true,,305,300,74,74,http://localhost:8082/users/login,2,0,0
1618218097038,2,Website request,200,,Load test Thread Group 1-467,text,true,,7645,209,74,74,http://localhost:8082/,2,0,0
1618218097040,1,Website request,200,,Load test Thread Group 1-487,text,true,,7645,209,74,74,http://localhost:8082/,1,0,0
1618218097053,2,Create account,226,,Load test Thread Group 1-446,,true,,210,301,75,75,http://localhost:8082/users/signup,2,0,0
1618218097056,1,Website request,200,,Load test Thread Group 1-466,text,true,,7645,209,75,75,http://localhost:8082/,1,0,0
1618218097073,4,Login Account,200,,Load test Thread Group 1-445,text,true,,305,300,76,76,http://localhost:8082/users/login,4,0,0
1618218097080,3,Login Account,200,,Load test Thread Group 1-465,text,true,,308,301,76,76,http://localhost:8082/users/login,3,0,0
1618218096939,155,Read Playlist,200,,Load test Thread Group 1-500,text,true,,56294,224,77,77,http://localhost:8082/playlists/read/,155,0,0
1618218097094,3,Create account,226,,Load test Thread Group 1-444,,true,,210,301,77,77,http://localhost:8082/users/signup,3,0,0
1618218097095,3,Login Account,200,,Load test Thread Group 1-464,text,true,,307,300,77,77,http://localhost:8082/users/login,3,0,0
1618218096941,160,Read Playlist,200,,Load test Thread Group 1-496,text,true,,56294,224,77,77,http://localhost:8082/playlists/read/,160,0,0
1618218096939,168,Read Playlist,200,,Load test Thread Group 1-494,text,true,,56294,224,77,77,http://localhost:8082/playlists/read/,168,0,0
1618218097113,2,Create account,226,,Load test Thread Group 1-443,,true,,210,301,78,78,http://localhost:8082/users/signup,2,0,0
1618218097116,1,Website request,200,,Load test Thread Group 1-463,text,true,,7645,209,78,78,http://localhost:8082/,1,0,0
1618218097131,4,Login Account,200,,Load test Thread Group 1-442,text,true,,305,300,79,79,http://localhost:8082/users/login,4,0,1
1618218097140,1,Website request,200,,Load test Thread Group 1-482,text,true,,7645,209,79,79,http://localhost:8082/,1,0,0
1618218097139,6,Login Account,200,,Load test Thread Group 1-462,text,true,,308,301,79,79,http://localhost:8082/users/login,6,0,0
1618218097153,4,Login Account,200,,Load test Thread Group 1-441,text,true,,305,300,80,80,http://localhost:8082/users/login,4,0,1
1618218097157,2,Login Account,200,,Load test Thread Group 1-461,text,true,,308,301,80,80,http://localhost:8082/users/login,2,0,0
1618218097161,1,Website request,200,,Load test Thread Group 1-481,text,true,,7645,209,80,80,http://localhost:8082/,1,0,0
1618218096979,196,Read Playlist,200,,Load test Thread Group 1-490,text,true,,56294,224,81,81,http://localhost:8082/playlists/read/,195,0,0
1618218097173,4,Login Account,200,,Load test Thread Group 1-440,text,true,,305,300,81,81,http://localhost:8082/users/login,4,0,1
1618218097176,2,Login Account,200,,Load test Thread Group 1-460,text,true,,307,300,81,81,http://localhost:8082/users/login,2,0,0
1618218096999,191,Read Playlist,200,,Load test Thread Group 1-489,text,true,,56294,224,81,81,http://localhost:8082/playlists/read/,191,0,0
1618218097192,3,Login Account,200,,Load test Thread Group 1-439,text,true,,305,300,82,82,http://localhost:8082/users/login,3,0,1
1618218097197,2,Login Account,200,,Load test Thread Group 1-459,text,true,,307,300,82,82,http://localhost:8082/users/login,2,0,0
1618218097200,1,Website request,200,,Load test Thread Group 1-479,text,true,,7645,209,82,82,http://localhost:8082/,1,0,0
1618218097021,182,Read Playlist,200,,Load test Thread Group 1-488,text,true,,56294,224,82,82,http://localhost:8082/playlists/read/,182,0,0
1618218097212,3,Login Account,200,,Load test Thread Group 1-438,text,true,,305,300,83,83,http://localhost:8082/users/login,3,0,1
1618218097219,1,Website request,200,,Load test Thread Group 1-458,text,true,,7645,209,83,83,http://localhost:8082/,1,0,0
1618218097232,3,Login Account,200,,Load test Thread Group 1-437,text,true,,305,300,84,84,http://localhost:8082/users/login,3,0,0
1618218097057,179,Read Playlist,200,,Load test Thread Group 1-486,text,true,,56294,224,84,84,http://localhost:8082/playlists/read/,179,0,0
1618218097239,1,Website request,200,,Load test Thread Group 1-477,text,true,,7645,209,84,84,http://localhost:8082/,1,0,0
1618218097238,2,Login Account,200,,Load test Thread Group 1-457,text,true,,308,301,84,84,http://localhost:8082/users/login,2,0,0
1618218097080,161,Read Playlist,200,,Load test Thread Group 1-485,text,true,,56294,224,84,84,http://localhost:8082/playlists/read/,161,0,0
1618218097252,3,Login Account,200,,Load test Thread Group 1-436,text,true,,305,300,85,85,http://localhost:8082/users/login,3,0,0
1618218097257,2,Login Account,200,,Load test Thread Group 1-456,text,true,,307,300,85,85,http://localhost:8082/users/login,2,0,0
1618218097262,1,Website request,200,,Load test Thread Group 1-476,text,true,,7645,209,85,85,http://localhost:8082/,1,0,0
1618218097099,166,Read Playlist,200,,Load test Thread Group 1-484,text,true,,56294,224,85,85,http://localhost:8082/playlists/read/,166,0,0
1618218097272,2,Login Account,200,,Load test Thread Group 1-435,text,true,,305,300,86,86,http://localhost:8082/users/login,2,0,0
1618218097277,2,Login Account,200,,Load test Thread Group 1-455,text,true,,307,300,86,86,http://localhost:8082/users/login,2,0,0
1618218097280,1,Website request,200,,Load test Thread Group 1-475,text,true,,7645,209,86,86,http://localhost:8082/,1,0,0
1618218097292,3,Create account,226,,Load test Thread Group 1-434,,true,,210,302,87,87,http://localhost:8082/users/signup,3,0,0
1618218097118,179,Read Playlist,200,,Load test Thread Group 1-483,text,true,,56294,224,87,87,http://localhost:8082/playlists/read/,179,0,0
1618218097298,1,Website request,200,,Load test Thread Group 1-454,text,true,,7645,209,87,87,http://localhost:8082/,1,0,0
1618218097307,0,Website request,200,,Load test Thread Group 1-474,text,true,,7645,209,87,87,http://localhost:8082/,0,0,0
1618218097312,3,Login Account,200,,Load test Thread Group 1-433,text,true,,305,300,88,88,http://localhost:8082/users/login,3,0,0
1618218097320,0,Website request,200,,Load test Thread Group 1-473,text,true,,7645,209,88,88,http://localhost:8082/,0,0,0
1618218097320,2,Login Account,200,,Load test Thread Group 1-453,text,true,,307,300,88,88,http://localhost:8082/users/login,2,0,0
1618218097180,153,Read Playlist,200,,Load test Thread Group 1-480,text,true,,56294,224,89,89,http://localhost:8082/playlists/read/,152,0,0
1618218097332,3,Create account,226,,Load test Thread Group 1-432,,true,,210,302,89,89,http://localhost:8082/users/signup,3,0,0
1618218097337,0,Website request,200,,Load test Thread Group 1-452,text,true,,7645,209,89,89,http://localhost:8082/,0,0,0
1618218097340,0,Website request,200,,Load test Thread Group 1-472,text,true,,7645,209,89,89,http://localhost:8082/,0,0,0
1618218097353,3,Create account,226,,Load test Thread Group 1-431,,true,,210,302,90,90,http://localhost:8082/users/signup,3,0,0
1618218097357,0,Website request,200,,Load test Thread Group 1-451,text,true,,7645,209,90,90,http://localhost:8082/,0,0,0
